"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded"
"Map 0","Dijkstra","229.425152","147.832064","288.1147857904434","1485.0002100907814","40384"
"Map 3","Dijkstra","66.033152","33.172224","286.94321286678314","1260.0002149204545","40392"
"Map 4","Dijkstra","25.243904","31.586048","286.357426404953","855.0002221649589","40383"
"Map 5","Dijkstra","92.83712","29.74208","285.77163994312286","810.0002233723777","40390"
"Map 7","Dijkstra","28.476928","32.589824","287.5289993286133","1350.0002125056142","40386"
"Map 9","Dijkstra","29.790976","31.767808","287.5289993286133","1350.0002125056176","40383"
"Map 10","Dijkstra","32.802048","40.660992","286.94321286678314","1215.0002161278658","40396"
"Map 12","Dijkstra","200.365056","30.550016","286.94321286678314","1260.0002149204513","40390"
"Map 13","Dijkstra","30.973952","30.784","286.357426404953","1080.0002185427038","40391"
"Map 14","Dijkstra","31.384832","28.416","288.1147857904434","1530.00020888336","40394"
"Map 15","Dijkstra","26.287872","30.407936","287.5289993286133","1260.000213713035","40384"
"Map 17","Dijkstra","30.739968","29.965056","286.357426404953","1080.0002185427038","40391"
"Map 18","Dijkstra","30.461952","30.084096","286.94321286678314","1125.0002173352866","40391"
"Map 19","Dijkstra","26.40384","31.951104","286.357426404953","945.0002209575391","40394"
"Map 20","Dijkstra","29.49888","29.27104","286.94321286678314","1260.0002149204483","40391"
"Map 21","Dijkstra","27.518976","30.806784","286.357426404953","1035.000219750119","40390"
"Map 23","Dijkstra","28.576","29.705216","286.357426404953","855.000222164958","40390"
"Map 24","Dijkstra","26.768128","31.881984","287.5289993286133","1350.0002125056153","40392"
"Map 25","Dijkstra","34.425856","36.487936","287.5289993286133","1215.000214920452","40385"
"Map 28","Dijkstra","26.842112","30.951936","286.94321286678314","1260.0002149204504","40386"
"Map 29","Dijkstra","68.869888","32.462848","287.5289993286133","1350.0002125056176","40394"
"Map 30","Dijkstra","31.89888","30.39488","286.357426404953","990.0002197501195","40390"
"Map 31","Dijkstra","26.25408","33.342976","286.94321286678314","1035.0002185427015","40392"
"Map 32","Dijkstra","96.23808","34.439936","286.94321286678314","1170.000216127865","40386"
"Map 33","Dijkstra","32.185856","31.198976","287.5289993286133","1125.0002161278658","40392"
"Map 35","Dijkstra","42.69696","34.233088","286.94321286678314","1125.0002173352884","40390"
"Map 36","Dijkstra","29.931008","30.001152","288.1147857904434","1215.0002137130357","40377"
"Map 38","Dijkstra","38.227968","40.962048","286.94321286678314","1215.0002161278717","40390"
"Map 39","Dijkstra","27.810048","31.238144","285.77163994312286","900.0002221649602","40382"
"Map 40","Dijkstra","30.366976","29.671168","286.357426404953","1035.0002197501235","40387"
"Map 41","Dijkstra","34.432","31.737856","287.5289993286133","1440.000211298197","40388"
"Map 42","Dijkstra","30.607872","37.660928","287.5289993286133","1215.0002149204493","40392"
"Map 43","Dijkstra","29.8752","31.713792","287.5289993286133","1260.0002137130327","40389"
"Map 44","Dijkstra","30.360832","30.566912","288.1147857904434","1305.000212505615","40394"
"Map 45","Dijkstra","24.990976","29.98784","285.77163994312286","900.0002221649569","40391"
"Map 46","Dijkstra","28.211968","30.55616","286.94321286678314","1170.0002161278665","40383"
"Map 48","Dijkstra","25.342976","31.952128","286.94321286678314","1035.0002185427024","40394"
"Map 49","Dijkstra","30.64192","33.483008","287.5289993286133","1125.0002161278692","40390"
"Map 50","Dijkstra","30.37696","30.516992","288.1147857904434","1395.0002112981997","40387"
"Map 51","Dijkstra","27.609088","30.134016","287.5289993286133","1395.0002125056164","40385"
"Map 52","Dijkstra","32.114944","31.089152","286.94321286678314","1215.000216127868","40394"
"Map 53","Dijkstra","42.774016","36.169984","286.94321286678314","1125.0002173352855","40395"
"Map 54","Dijkstra","44.611072","30.380032","288.1147857904434","1395.0002112981965","40384"
"Map 55","Dijkstra","29.037056","32.92416","287.5289993286133","1305.0002137130298","40386"
"Map 56","Dijkstra","29.21216","29.967872","287.5289993286133","1305.0002137130339","40389"
"Map 57","Dijkstra","76.635136","31.461888","286.94321286678314","765.0002221649596","40391"
"Map 58","Dijkstra","29.709056","31.67104","286.94321286678314","1215.0002161278676","40392"
"Map 59","Dijkstra","30.925056","107.82208","286.94321286678314","1260.0002149204495","40392"
"Map 60","Dijkstra","29.23392","29.5808","287.5289993286133","1440.0002112981988","40389"
"Map 62","Dijkstra","30.361088","38.274048","286.94321286678314","1260.0002149204515","40389"
"Map 63","Dijkstra","51.017984","41.363968","287.5289993286133","1260.0002137130332","40384"
"Map 65","Dijkstra","37.986048","40.179968","285.1858534812927","720.000225787213","40388"
"Map 66","Dijkstra","188.99584","49.537024","286.94321286678314","1035.0002185427036","40388"
"Map 67","Dijkstra","35.95008","36.193024","287.5289993286133","1305.0002137130316","40388"
"Map 69","Dijkstra","32.423936","31.387904","285.1858534812927","675.000226994634","40388"
"Map 70","Dijkstra","32.555008","32.376832","286.357426404953","765.0002233723801","40388"
"Map 71","Dijkstra","127.235072","32.2688","287.5289993286133","855.0002197501216","40385"
"Map 72","Dijkstra","35.085056","33.067008","286.357426404953","1035.0002197501215","40391"
"Map 73","Dijkstra","36.339968","33.016064","286.357426404953","1080.000218542703","40390"
"Map 74","Dijkstra","31.173888","33.705984","286.94321286678314","1035.0002185427022","40396"
"Map 76","Dijkstra","191.094016","48.568064","288.1147857904434","1305.0002125056149","40387"
"Map 77","Dijkstra","26.589952","31.779072","286.357426404953","945.0002209575387","40391"
"Map 79","Dijkstra","171.578112","29.222144","287.5289993286133","1125.0002161278665","40394"
"Map 80","Dijkstra","29.416192","33.236992","287.5289993286133","1395.0002125056133","40390"
"Map 81","Dijkstra","30.524928","30.79296","287.5289993286133","1440.000211298199","40386"
"Map 82","Dijkstra","28.112896","28.576","286.94321286678314","1170.0002161278687","40387"
"Map 84","Dijkstra","26.515968","29.925888","288.1147857904434","1620.0002076759451","40379"
"Map 85","Dijkstra","31.776768","29.805056","287.5289993286133","1305.000213713034","40379"
"Map 87","Dijkstra","368.701952","41.195008","287.5289993286133","1305.0002137130339","40394"
"Map 88","Dijkstra","48.926976","34.313984","286.94321286678314","1260.0002149204495","40390"
"Map 90","Dijkstra","187.033856","29.963008","286.94321286678314","1035.0002185427031","40387"
"Map 91","Dijkstra","28.388096","28.731136","286.357426404953","945.0002209575383","40391"
"Map 92","Dijkstra","26.494976","29.494784","287.5289993286133","1215.0002149204495","40388"
"Map 93","Dijkstra","23.747072","29.721856","286.94321286678314","945.0002197501206","40389"
"Map 94","Dijkstra","28.333824","29.150976","285.77163994312286","900.0002221649576","40390"
"Map 95","Dijkstra","25.12896","29.801216","286.94321286678314","1170.000216127867","40388"
"Map 97","Dijkstra","29.435904","29.940992","286.357426404953","900.000220957541","40391"
"Map 98","Dijkstra","26.130944","29.616896","287.5289993286133","1215.0002149204474","40386"
"Map 99","Dijkstra","88.932096","32.460032","286.357426404953","855.00022216496","40389"
"Map 0","AStar","29.168896","35.800064","288.1147857904434","1440.000210090777","5084"
"Map 3","AStar","31.152128","8.039936","286.94321286678314","1170.0002173352868","4531"
"Map 4","AStar","26.34496","10.181888","286.357426404953","990.0002197501207","3073"
"Map 5","AStar","38.957056","4.207104","285.77163994312286","900.0002221649579","2900"
"Map 7","AStar","55.122944","8.890112","287.5289993286133","1260.0002137130318","4524"
"Map 9","AStar","48.414208","9.604864","287.5289993286133","1305.0002137130357","5267"
"Map 10","AStar","43.652096","8.697088","286.94321286678314","1170.0002161278676","3988"
"Map 12","AStar","51.010816","7.686912","286.94321286678314","1125.0002173352864","3977"
"Map 13","AStar","48.994048","5.48992","286.357426404953","990.0002197501215","3445"
"Map 14","AStar","126.569984","10.24896","288.1147857904434","1530.0002088833603","5214"
"Map 15","AStar","45.914112","10.509056","287.5289993286133","1215.0002149204527","4768"
"Map 17","AStar","33.44512","6.691072","286.357426404953","1035.000219750125","3382"
"Map 18","AStar","84.377088","6.4","286.94321286678314","1260.0002149204508","3832"
"Map 19","AStar","31.951872","4.969984","286.357426404953","1080.0002185427036","3475"
"Map 20","AStar","29.018112","6.24896","286.94321286678314","1035.0002185427045","4461"
"Map 21","AStar","31.697152","5.223936","286.357426404953","945.0002209575377","3923"
"Map 23","AStar","25.570048","4.843008","286.357426404953","1035.0002197501233","3527"
"Map 24","AStar","27.132928","7.033856","287.5289993286133","1260.0002137130327","4890"
"Map 25","AStar","51.585792","10.422016","287.5289993286133","1350.000213713035","4822"
"Map 28","AStar","35.866112","7.296","286.94321286678314","1260.0002149204515","4306"
"Map 29","AStar","29.478144","7.678208","287.5289993286133","1395.0002125056187","4987"
"Map 30","AStar","30.913024","5.665024","286.357426404953","945.0002209575395","4017"
"Map 31","AStar","31.372032","6.51392","286.94321286678314","1125.0002173352843","4295"
"Map 32","AStar","89.180928","6.004992","286.94321286678314","1080.0002185427018","4360"
"Map 33","AStar","33.982976","6.811904","287.5289993286133","1350.0002125056149","4776"
"Map 35","AStar","31.520768","6.093824","286.94321286678314","1035.0002185427043","4312"
"Map 36","AStar","42.561792","16.11392","288.1147857904434","1260.0002125056128","5541"
"Map 38","AStar","32.805888","7.196928","286.94321286678314","1260.0002149204536","3999"
"Map 39","AStar","29.931008","3.171072","285.77163994312286","810.0002233723784","2300"
"Map 40","AStar","28.764928","3.72608","286.357426404953","990.000219750123","2743"
"Map 41","AStar","28.73088","6.957824","287.5289993286133","1395.0002125056162","4658"
"Map 42","AStar","23.873024","6.34496","287.5289993286133","1215.0002149204522","4786"
"Map 43","AStar","28.96","8.760064","287.5289993286133","1440.0002112981979","4886"
"Map 44","AStar","32.141056","7.236096","288.1147857904434","1440.0002100907773","5025"
"Map 45","AStar","27.063808","3.72096","285.77163994312286","900.0002221649567","2753"
"Map 46","AStar","27.660032","6.267904","286.94321286678314","1215.0002161278735","4253"
"Map 48","AStar","27.853056","5.886976","286.94321286678314","1125.000217335286","4252"
"Map 49","AStar","28.755968","7.18208","287.5289993286133","1215.0002149204508","4980"
"Map 50","AStar","27.700224","7.42912","288.1147857904434","1215.0002137130368","5433"
"Map 51","AStar","26.88","8.926976","287.5289993286133","1440.0002112981977","4682"
"Map 52","AStar","26.79424","5.62816","286.94321286678314","1260.0002149204515","4229"
"Map 53","AStar","80.662016","5.086976","286.94321286678314","1125.000217335287","3941"
"Map 54","AStar","26.509056","6.883072","288.1147857904434","1395.0002112981983","5359"
"Map 55","AStar","28.108032","8.668928","287.5289993286133","1170.0002149204497","4708"
"Map 56","AStar","29.18016","6.1312","287.5289993286133","1260.0002137130325","4493"
"Map 57","AStar","28.065024","5.232128","286.94321286678314","1170.0002161278696","3908"
"Map 58","AStar","28.326144","5.996032","286.94321286678314","1260.0002149204502","3764"
"Map 59","AStar","25.366016","6.00704","286.94321286678314","1125.0002173352868","4137"
"Map 60","AStar","29.27616","6.37696","287.5289993286133","1305.000213713036","4787"
"Map 62","AStar","25.146112","8.674816","286.94321286678314","1125.0002173352905","4517"
"Map 63","AStar","29.659904","6.693888","287.5289993286133","1305.0002137130366","4862"
"Map 65","AStar","29.809152","3.553024","285.1858534812927","675.0002269946315","2453"
"Map 66","AStar","25.720064","5.62304","286.94321286678314","1215.00021612787","4046"
"Map 67","AStar","29.140992","8.114944","287.5289993286133","1305.0002137130316","4830"
"Map 69","AStar","28.922112","2.72","285.1858534812927","675.0002269946344","1842"
"Map 70","AStar","86.372864","4.0","286.357426404953","900.0002209575426","2742"
"Map 71","AStar","28.001792","6.173952","287.5289993286133","1215.00021492045","4561"
"Map 72","AStar","45.01504","7.197952","286.357426404953","990.0002197501213","3376"
"Map 73","AStar","33.060864","5.313024","286.357426404953","1080.0002185427038","3620"
"Map 74","AStar","27.916032","5.81504","286.94321286678314","1215.0002161278678","4146"
"Map 76","AStar","81.609984","7.335168","288.1147857904434","1485.000210090783","5681"
"Map 77","AStar","28.83712","4.363008","286.357426404953","1035.0002197501221","3135"
"Map 79","AStar","28.515072","6.648064","287.5289993286133","1305.0002137130336","4938"
"Map 80","AStar","27.629056","7.023104","287.5289993286133","1350.0002125056128","4268"
"Map 81","AStar","30.053888","6.685952","287.5289993286133","1395.000212505618","5097"
"Map 82","AStar","44.647168","10.238976","286.94321286678314","990.0002185427021","4270"
"Map 84","AStar","36.248064","7.746048","288.1147857904434","1350.0002112981972","5241"
"Map 85","AStar","46.419968","7.459072","287.5289993286133","1350.000212505617","4741"
"Map 87","AStar","33.1008","6.643968","287.5289993286133","1395.000212505616","4614"
"Map 88","AStar","28.824064","5.688064","286.94321286678314","1170.000216127868","4190"
"Map 90","AStar","38.12096","6.310912","286.94321286678314","1170.0002161278678","4299"
"Map 91","AStar","37.159936","5.302784","286.357426404953","990.0002197501215","3486"
"Map 92","AStar","30.77504","6.79296","287.5289993286133","1350.0002125056144","5093"
"Map 93","AStar","34.933248","7.744","286.94321286678314","990.0002185427021","4410"
"Map 94","AStar","26.371072","4.092928","285.77163994312286","855.0002233723762","2740"
"Map 95","AStar","59.298048","5.84576","286.94321286678314","1215.0002161278678","4242"
"Map 97","AStar","27.481088","5.65504","286.357426404953","990.0002197501202","3911"
"Map 98","AStar","34.435072","6.403072","287.5289993286133","1440.000211298194","4697"
"Map 99","AStar","30.596096","3.963136","286.357426404953","990.0002197501226","2731"
"Map 0","ThetaStar","27.933952","53.508096","284.02667486667633","262.6612934260389","3533"
"Map 3","ThetaStar","25.52704","38.297088","283.9169850349426","232.06839552835822","3900"
"Map 4","ThetaStar","26.72512","5.313792","283.8123388290405","209.93293380968902","2497"
"Map 5","ThetaStar","31.78624","8.765952","283.9096485376358","272.66085373477716","3472"
"Map 7","ThetaStar","30.64576","9.558016","284.3668131828308","303.36919824465883","3582"
"Map 9","ThetaStar","50.915072","11.723008","283.94591903686523","258.8270780986899","3475"
"Map 10","ThetaStar","47.058944","14.445056","283.9981722831726","167.43436645773699","3398"
"Map 12","ThetaStar","29.741056","6.667008","283.87164855003357","171.12176988079554","3285"
"Map 13","ThetaStar","30.14784","7.591936","283.8069643974304","202.02970324214925","3813"
"Map 14","ThetaStar","26.955008","7.66208","284.1605395078659","158.91448966470892","4083"
"Map 15","ThetaStar","27.837952","8.057088","284.2481482028961","264.24656453598476","4188"
"Map 17","ThetaStar","27.133952","4.23424","283.3637453317642","124.0325548552816","2061"
"Map 18","ThetaStar","30.53184","7.612928","283.8048720359802","199.93098861735183","3413"
"Map 19","ThetaStar","30.234112","7.556864","283.90146803855896","235.27402865177692","3717"
"Map 20","ThetaStar","32.18304","8.925952","283.7970349788666","165.43709583368647","3875"
"Map 21","ThetaStar","26.478848","4.338944","283.51551485061646","109.94747067843782","2198"
"Map 23","ThetaStar","31.335936","4.071168","283.4072504043579","132.91350350062297","1945"
"Map 24","ThetaStar","30.385152","7.444992","283.96772742271423","220.7392049102099","4017"
"Map 25","ThetaStar","25.085952","10.950912","283.9849166870117","185.1513440009694","4139"
"Map 28","ThetaStar","79.983104","8.52608","283.8013015985489","139.0302230114177","3230"
