"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded","BlocksExpanded","NeighbourVisits"
"Map 1","BlockAStar","56.829952","13.97504","285.1376616955","202.7845529643","5661","1406","45288"
"Map 2","BlockAStar","175.065856","37.011968","289.7757616043","366.5243434263","9257","2324","74056"
"Map 3","BlockAStar","59.366912","24.32896","294.8215024471","399.0447576726","14635","3600","117080"
"Map 4","BlockAStar","52.525824","10.320128","299.4836982489","345.9146553185","14849","3690","118792"
"Map 5","BlockAStar","44.835072","11.849984","291.4576752186","452.1748564045","18629","4545","149032"
"Map 6","BlockAStar","44.326912","7.155968","289.2926748991","255.9146577333","10744","2580","85952"
"Map 7","BlockAStar","176.87808","40.197888","288.8095881939","424.0039340097","13586","3312","108688"
"Map 8","BlockAStar","188.16512","3.790848","286.2851387262","258.0894477298","5583","1396","44664"
"Map 10","BlockAStar","62.093056","11.515136","289.2685790062","165.9146649778","14387","3545","115096"
"Map 12","BlockAStar","199.783936","9.053952","289.1658792496","366.5243458411","15009","3679","120072"
"Map 13","BlockAStar","10.656","41.246976","289.0118296146","292.7845529643","9622","2353","76976"
"Map 14","BlockAStar","215.341056","10.614016","290.8750468493","129.0447938952","16741","4092","133928"
"Map 15","BlockAStar","207.395072","9.543936","292.2761151791","329.6544578547","15790","3872","126320"
"Map 17","BlockAStar","221.528064","8.425984","286.5146341324","165.9146577333","9619","2358","76952"
"Map 18","BlockAStar","225.56288","14.682112","293.9307748079","454.349602934","23945","5753","191560"
"Map 19","BlockAStar","199.463936","7.469056","290.416056037","165.9146891262","11725","2853","93800"
"Map 20","BlockAStar","73.014016","10.18496","288.9363838434","200.6098173016","13029","3147","104232"
"Map 22","BlockAStar","190.25408","11.403008","290.6423933506","456.5243410115","18573","4497","148584"
"Map 23","BlockAStar","73.515776","5.938944","285.1376616955","129.04475888","10151","2393","81208"
"Map 24","BlockAStar","60.867072","9.80608","288.3505973816","387.1340375713","16274","3930","130192"
"Map 25","BlockAStar","10.516992","5.08288","287.2272162437","255.9146529036","8262","2051","66096"
"Map 26","BlockAStar","59.937024","6.760192","291.4817711115","562.7845384753","11225","2766","89800"
"Map 27","BlockAStar","10.707968","6.24896","291.2554337978","329.6544518176","10341","2560","82728"
