"Map","Algorithm","GraphCreationTime","AlgorithmTime","Distance","Angle","NodesExpanded"
"Map 1","BlockAStar","13.40288","7.585024","284.51143193244934","334.3187166523577","3595"
"Map 2","BlockAStar","274.33216","5.445888","288.43991470336914","584.1133341669356","5473"
"Map 3","BlockAStar","6.147072","243.347968","293.33574974536896","808.3941420638569","11465"
"Map 4","BlockAStar","6.249216","11.75296","297.28100311756134","650.369996849162","11373"
"Map 5","BlockAStar","255.552768","15.61216","289.93989884853363","875.2486617694885","14207"
"Map 6","BlockAStar","6.69184","229.017088","288.93774485588074","504.4210882986765","8950"
"Map 7","BlockAStar","6.694912","7.682048","287.6316570043564","769.4679096088289","10400"
"Map 8","BlockAStar","293.606144","3.461888","285.58434557914734","464.1287507445332","4005"
"Map 10","BlockAStar","372.046848","13.510912","288.2546274662018","768.5089791577403","9613"
"Map 12","BlockAStar","279.561216","15.52","288.0774077177048","783.2384680254507","11722"
"Map 13","BlockAStar","281.949952","7.12704","288.1179498434067","742.0191026764977","7355"
"Map 14","BlockAStar","6.861056","9.658112","289.44094479084015","820.1083705009679","11050"
"Map 15","BlockAStar","231.816192","11.357952","291.60218489170074","946.6952915669572","13001"
"Map 17","BlockAStar","7.617024","5.849088","285.96292448043823","508.8889810036492","6497"
"Map 18","BlockAStar","270.094848","16.269056","292.09984052181244","951.5674826498584","18383"
"Map 19","BlockAStar","7.276032","253.153792","289.3871639966965","821.1596180974802","10180"
"Map 20","BlockAStar","7.021056","7.973888","288.0432325601578","581.9847456064924","9938"
"Map 22","BlockAStar","7.0208","15.826176","289.5458217859268","547.7690627341846","14566"
"Map 23","BlockAStar","280.277248","5.24288","284.5114325284958","311.69886498591825","6608"
"Map 24","BlockAStar","6.996992","8.478976","287.0683101415634","675.2829838243637","11050"
"Map 25","BlockAStar","252.617984","4.79488","286.58682239055634","460.9489000985587","6062"
"Map 26","BlockAStar","6.585856","240.673024","290.324844956398","710.5037623612722","8136"
"Map 27","BlockAStar","63.780096","5.721856","289.8434708118439","757.2742080979547","7180"
"Map 28","BlockAStar","6.764032","73.667072","287.37061274051666","590.519146338576","4992"
"Map 30","BlockAStar","6.172928","66.95296","289.5462259054184","745.3634904114444","8957"
"Map 31","BlockAStar","72.132096","7.408896","286.3739792108536","564.6732896794138","8772"
"Map 32","BlockAStar","6.226944","264.352","288.2232301235199","589.993527369993","6847"
"Map 33","BlockAStar","6.298112","7.43296","294.83966839313507","810.7334522454772","9917"
"Map 35","BlockAStar","57.662208","8.102912","292.5154560804367","1177.9797903924534","10664"
"Map 36","BlockAStar","79.843072","14.394112","294.7974503040314","962.3576344221916","20419"
"Map 37","BlockAStar","6.238976","3.830784","285.5843435525894","512.3085398121763","5599"
"Map 38","BlockAStar","428.737024","6.036992","286.959765791893","642.1185413040587","8578"
"Map 40","BlockAStar","237.030144","9.451008","286.97352945804596","453.58418766128773","11065"
"Map 42","BlockAStar","256.477952","12.275968","289.9986900091171","539.638949513264","17743"
"Map 43","BlockAStar","6.178048","5.026048","285.3905279636383","459.1784398728568","5657"
"Map 44","BlockAStar","286.603008","7.20896","289.63962173461914","648.8392604824506","8792"
"Map 46","BlockAStar","117.455872","10.725888","289.27344739437103","476.3253261106703","10558"
"Map 47","BlockAStar","9.424896","9.865984","288.5022237300873","693.2384728551243","9779"
"Map 48","BlockAStar","269.816064","22.388992","292.3114101886749","951.4058339051686","15967"
"Map 49","BlockAStar","79.462912","12.873984","293.88545203208923","646.4247925088512","17402"
"Map 51","BlockAStar","107.540992","8.84096","285.2952229976654","440.7434898425164","5617"
"Map 52","BlockAStar","7.087872","4.141056","285.39957904815674","418.88899670008686","5417"
"Map 53","BlockAStar","76.918016","7.919104","287.6074575185776","572.5636669671619","7948"
"Map 54","BlockAStar","6.490112","5.51808","293.8000999689102","534.6886990125015","7994"
"Map 55","BlockAStar","73.590016","5.671936","285.76005840301514","521.608300275688","7875"
"Map 56","BlockAStar","6.459904","50.678016","293.8853588104248","967.1865812361551","21073"
"Map 57","BlockAStar","72.684032","8.169984","288.6065789461136","733.6492547298229","9424"
"Map 58","BlockAStar","6.385152","255.823104","293.54428493976593","906.5674814424405","8145"
"Map 59","BlockAStar","56.31616","7.092992","287.3489017486572","555.6594243254951","10297"
"Map 60","BlockAStar","260.203008","7.79904","293.0353229045868","803.5651964573109","10566"
"Map 61","BlockAStar","6.212864","8.772864","291.5079565048218","817.7690627341839","9919"
"Map 64","BlockAStar","6.124032","72.465152","287.334157705307","472.01908939489687","9628"
"Map 65","BlockAStar","73.062912","8.660992","292.8566563129425","970.530994326886","12324"
