"Coverage","Clustering","Count","CountFreeSandG"
"0","0","400","1.0"
"0","10","400","1.0"
"0","20","400","1.0"
"0","30","400","1.0"
"0","40","400","1.0"
"0","50","400","1.0"
"0","60","400","1.0"
"0","70","400","1.0"
"0","80","400","1.0"
"0","90","400","1.0"
"0","100","400","1.0"
"5","0","364","0.9972602739726028"
"5","10","374","0.9816272965879265"
"5","20","380","0.9844559585492227"
"5","30","367","0.976063829787234"
"5","40","390","0.9848484848484849"
"5","50","381","0.9844961240310077"
"5","60","381","0.9794344473007712"
"5","70","377","0.9792207792207792"
"5","80","380","0.9768637532133676"
"5","90","375","0.9689922480620154"
"5","100","379","0.9869791666666666"
"10","0","328","1.0"
"10","10","343","0.9554317548746518"
"10","20","354","0.9698630136986301"
"10","30","354","0.954177897574124"
"10","40","353","0.9514824797843666"
"10","50","347","0.9327956989247311"
"10","60","350","0.9408602150537635"
"10","70","363","0.9603174603174603"
"10","80","351","0.9335106382978723"
"10","90","362","0.9627659574468085"
"10","100","358","0.9597855227882037"
"15","0","261","0.9775280898876404"
"15","10","326","0.9183098591549296"
"15","20","311","0.8711484593837535"
"15","30","325","0.9154929577464789"
"15","40","317","0.8929577464788733"
"15","50","341","0.89501312335958"
"15","60","329","0.8989071038251366"
"15","70","321","0.9119318181818182"
"15","80","328","0.8817204301075269"
"15","90","329","0.8989071038251366"
"15","100","340","0.9264305177111717"
"20","0","254","0.9844961240310077"
"20","10","323","0.9228571428571428"
"20","20","306","0.8895348837209303"
"20","30","306","0.864406779661017"
"20","40","293","0.8492753623188406"
"20","50","305","0.8689458689458689"
"20","60","305","0.8615819209039548"
"20","70","300","0.8695652173913043"
"20","80","304","0.8660968660968661"
"20","90","297","0.84375"
"20","100","298","0.8514285714285714"
"25","0","222","0.9568965517241379"
"25","10","255","0.796875"
"25","20","256","0.7757575757575758"
"25","30","281","0.8192419825072886"
"25","40","270","0.823170731707317"
"25","50","272","0.793002915451895"
"25","60","268","0.8048048048048048"
"25","70","273","0.7867435158501441"
"25","80","276","0.8023255813953488"
"25","90","260","0.7807807807807807"
"25","100","282","0.8173913043478261"
"30","0","178","0.898989898989899"
"30","10","219","0.6996805111821086"
"30","20","237","0.7117117117117117"
"30","30","247","0.7159420289855073"
"30","40","225","0.6965944272445821"
"30","50","243","0.759375"
"30","60","236","0.7261538461538461"
"30","70","228","0.7037037037037037"
"30","80","241","0.7259036144578314"
"30","90","244","0.7349397590361446"
"30","100","240","0.7361963190184049"
"35","0","134","0.8121212121212121"
"35","10","183","0.5903225806451613"
"35","20","181","0.5973597359735974"
"35","30","204","0.6435331230283912"
"35","40","201","0.659016393442623"
"35","50","184","0.5916398713826366"
"35","60","205","0.6327160493827161"
"35","70","209","0.6572327044025157"
"35","80","201","0.6165644171779141"
"35","90","208","0.6645367412140575"
"35","100","209","0.6490683229813664"
"40","0","90","0.6617647058823529"
"40","10","125","0.42517006802721086"
"40","20","148","0.49498327759197325"
"40","30","156","0.527027027027027"
"40","40","136","0.4444444444444444"
"40","50","156","0.484472049689441"
"40","60","146","0.477124183006536"
"40","70","147","0.4819672131147541"
"40","80","140","0.46357615894039733"
"40","90","150","0.487012987012987"
"40","100","169","0.5416666666666666"
"45","0","69","0.5307692307692308"
"45","10","88","0.3120567375886525"
"45","20","79","0.2762237762237762"
"45","30","98","0.34507042253521125"
"45","40","107","0.3689655172413793"
"45","50","93","0.3381818181818182"
"45","60","108","0.3564356435643564"
"45","70","119","0.38762214983713356"
"45","80","88","0.3024054982817869"
"45","90","105","0.36585365853658536"
"45","100","103","0.34219269102990035"
"50","0","28","0.2916666666666667"
"50","10","25","0.0946969696969697"
"50","20","36","0.140625"
"50","30","30","0.11070110701107011"
"50","40","46","0.17293233082706766"
"50","50","50","0.17064846416382254"
"50","60","47","0.1709090909090909"
"50","70","53","0.18861209964412812"
"50","80","56","0.2014388489208633"
"50","90","66","0.2214765100671141"
"50","100","64","0.22614840989399293"
"55","0","12","0.15584415584415584"
"55","10","10","0.04032258064516129"
"55","20","8","0.032388663967611336"
"55","30","14","0.05223880597014925"
"55","40","18","0.06741573033707865"
"55","50","23","0.08914728682170543"
"55","60","26","0.0959409594095941"
"55","70","25","0.09615384615384616"
"55","80","28","0.10810810810810811"
