"Coverage","Clustering","Count","CountFreeSandG"
"0","1000","400","1.0"
"5","1000","370","0.9685863874345549"
"10","1000","361","0.9525065963060686"
"15","1000","329","0.8844086021505376"
"20","1000","316","0.8901408450704226"
"25","1000","284","0.8045325779036827"
"30","1000","249","0.7638036809815951"
"35","1000","214","0.6925566343042071"
"40","1000","191","0.6563573883161512"
"45","1000","151","0.49508196721311476"
"50","1000","94","0.35471698113207545"
"55","1000","72","0.291497975708502"
"60","1000","44","0.16541353383458646"
"65","1000","16","0.06956521739130435"
"70","1000","10","0.04716981132075472"
"75","1000","0","0.0"
"80","1000","0","0.0"
"85","1000","0","0.0"
"90","1000","0","0.0"
"95","1000","0","0.0"
"100","1000","0","0.0"

